arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,flat_image_fraction,local_contrast_ratio,local_slope,local_difference_mae_m,sigmoid_derivative_mean
D0,train,eval,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
D0,train,eval,50,16,16,0.0025247271842090413,-0.001105912583625468,0.9940570557127094,0.0,0.0,1.001446593574956,0.6746747113638353,0.001960723355296068,0.24249100498855114
D0,train,train,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
D0,train,train,50,16,16,0.0025247271842090413,-0.001105912583625468,0.9940570557127094,0.0,0.0,1.001446593574956,0.6746747113638353,0.001960723355296068,0.24249100498855114
D0,validation_test_seen,eval,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
D0,validation_test_seen,eval,50,32,32,0.004025746253319085,-0.00010593905017231009,0.9895941780870698,0.0,0.0,1.043004331085307,0.6409455214036108,0.0024037491348281037,0.24342435272410512
D0,validation_test_seen,train,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
D0,validation_test_seen,train,50,32,32,0.004025746253319085,-0.00010593905017231009,0.9895941780870698,0.0,0.0,1.043004331085307,0.6409455214036108,0.0024037491348281037,0.24342435272410512
D1,train,eval,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
D1,train,eval,50,16,16,0.0067549573723226786,0.0017370101804772275,0.9921866850304691,0.0,0.0,1.4573142592542192,0.7462164795411799,0.0044457254552980885,0.24289643671363592
D1,train,train,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
D1,train,train,50,16,16,0.0067549573723226786,0.0017370101804772275,0.9921866850304691,0.0,0.0,1.4573142592542192,0.7462164795411799,0.0044457254552980885,0.24289643671363592
D1,validation_test_seen,eval,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
D1,validation_test_seen,eval,50,32,32,0.006583796508493833,0.0018055375743415425,1.0016794457719418,0.0,0.0,1.3611815260867661,0.6814054427785888,0.004270131001248956,0.24356246646493673
D1,validation_test_seen,train,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
D1,validation_test_seen,train,50,32,32,0.006583796508493833,0.0018055375743415425,1.0016794457719418,0.0,0.0,1.3611815260867661,0.6814054427785888,0.004270131001248956,0.24356246646493673
P0,train,eval,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
P0,train,train,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
P0,validation_test_seen,eval,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
P0,validation_test_seen,train,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
