arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,flat_image_fraction,local_contrast_ratio,local_slope,local_difference_mae_m,sigmoid_derivative_mean
D0,train,eval,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
D0,train,eval,50,16,16,0.0025247271842090413,-0.001105912583625468,0.9940570557127094,0.0,0.0,1.001446593574956,0.6746747113638353,0.001960723355296068,0.24249100498855114
D0,train,eval,100,16,16,0.002846931936801411,0.001231189333338989,1.0116029401461564,0.0,0.0,0.9967451993327083,0.6866769096159033,0.001973817532416433,0.2426666570827365
D0,train,eval,200,16,16,0.002926365879829973,0.00024126760763465427,0.9741374355152779,0.0,0.0,1.0047946025550905,0.6846982560107356,0.001948728400748223,0.24278571642935276
D0,train,eval,300,16,16,0.0027222883654758334,-0.0004621311645678361,0.9929865999654658,0.0,0.0,0.9633584742473447,0.674764655868628,0.001904032047605142,0.2425557980313897
D0,train,eval,400,16,16,0.0025383976608281955,-0.0004958732092745777,1.0088296277969575,0.0,0.0,0.9329839231196588,0.6565246827065028,0.001877690214314498,0.24245506059378386
D0,train,eval,500,16,16,0.0026107719822903164,-0.0011762456178985303,0.9963343221647932,0.0,0.0,0.9619968265910561,0.6688656924121325,0.0019162739845342003,0.24244694598019123
D0,train,train,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.0,0.9642980242867437,0.6827081530860779,0.0018042649535345845,0.2426141845062375
D0,train,train,50,16,16,0.0025247271842090413,-0.001105912583625468,0.9940570557127094,0.0,0.0,1.001446593574956,0.6746747113638353,0.001960723355296068,0.24249100498855114
D0,train,train,100,16,16,0.002846931936801411,0.001231189333338989,1.0116029401461564,0.0,0.0,0.9967451993327083,0.6866769096159033,0.001973817532416433,0.2426666570827365
D0,train,train,200,16,16,0.002926365879829973,0.00024126760763465427,0.9741374355152779,0.0,0.0,1.0047946025550905,0.6846982560107356,0.001948728400748223,0.24278571642935276
D0,train,train,300,16,16,0.0027222883654758334,-0.0004621311645678361,0.9929865999654658,0.0,0.0,0.9633584742473447,0.674764655868628,0.001904032047605142,0.2425557980313897
D0,train,train,400,16,16,0.0025383976608281955,-0.0004958732092745777,1.0088296277969575,0.0,0.0,0.9329839231196588,0.6565246827065028,0.001877690214314498,0.24245506059378386
D0,train,train,500,16,16,0.0026107719822903164,-0.0011762456178985303,0.9963343221647932,0.0,0.0,0.9619968265910561,0.6688656924121325,0.0019162739845342003,0.24244694598019123
D0,validation_test_seen,eval,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
D0,validation_test_seen,eval,50,32,32,0.004025746253319085,-0.00010593905017231009,0.9895941780870698,0.0,0.0,1.043004331085307,0.6409455214036108,0.0024037491348281037,0.24342435272410512
D0,validation_test_seen,eval,100,32,32,0.004934132273774594,0.0025172991086037655,1.0055423995484942,0.0,0.0,1.0219684500423936,0.6416251406358173,0.0023548250646854285,0.2436131672002375
D0,validation_test_seen,eval,200,32,32,0.004607770148140844,0.0014128173972949298,0.9675422397885866,0.0,0.0,1.050023142926046,0.6463466436731584,0.002384947263635695,0.24372791964560747
D0,validation_test_seen,eval,300,32,32,0.004423288250109181,0.0005423430642963467,0.9801817836464038,0.0,0.0,1.011490914995693,0.6296721782603698,0.00235026110385661,0.24356310302391648
D0,validation_test_seen,eval,400,32,32,0.004204991135338787,0.0008543682142772013,0.9997083100716124,0.0,0.0,1.0107191856926365,0.6274311905848867,0.002344560096389614,0.24347119219601154
D0,validation_test_seen,eval,500,32,32,0.004000971530331299,-5.09184023940179e-05,0.9837225548597414,0.0,0.0,0.9858029226981928,0.6217447124579931,0.002305442190845497,0.24345975648611784
D0,validation_test_seen,train,0,32,32,0.00393119957880117,0.0008521096053755173,0.9830716099238251,0.0,0.0,1.0186962460515177,0.6369977162820093,0.002279904354509199,0.24357456481084228
D0,validation_test_seen,train,50,32,32,0.004025746253319085,-0.00010593905017231009,0.9895941780870698,0.0,0.0,1.043004331085307,0.6409455214036108,0.0024037491348281037,0.24342435272410512
D0,validation_test_seen,train,100,32,32,0.004934132273774594,0.0025172991086037655,1.0055423995484942,0.0,0.0,1.0219684500423936,0.6416251406358173,0.0023548250646854285,0.2436131672002375
D0,validation_test_seen,train,200,32,32,0.004607770148140844,0.0014128173972949298,0.9675422397885866,0.0,0.0,1.050023142926046,0.6463466436731584,0.002384947263635695,0.24372791964560747
D0,validation_test_seen,train,300,32,32,0.004423288250109181,0.0005423430642963467,0.9801817836464038,0.0,0.0,1.011490914995693,0.6296721782603698,0.00235026110385661,0.24356310302391648
D0,validation_test_seen,train,400,32,32,0.004204991135338787,0.0008543682142772013,0.9997083100716124,0.0,0.0,1.0107191856926365,0.6274311905848867,0.002344560096389614,0.24347119219601154
