arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,foreground_mae_m,foreground_bias_m,foreground_pred_std_m,foreground_gt_std_m,foreground_mean_image_std_ratio,flat_image_fraction,local_contrast_ratio,local_slope,local_correlation,local_difference_mae_m,sigmoid_derivative_mean
QC_no_E,train,eval,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.002609898721857462,-0.0003212297012851195,0.043050738517194986,0.04331311653368175,0.9927904954915647,0.0,0.9642980242867437,0.6827081530860779,0.7113498784793268,0.0018042649535345845,0.2426141845062375
QC_no_E,train,eval,100,16,16,0.002866732218535617,0.0013480470806825906,1.0024063908071992,0.0,0.003680214984342456,0.0016786257110652514,0.043270409223623574,0.04331311653368175,0.9997934630569308,0.0,1.0139339204016373,0.680655606026338,0.6825649857083105,0.002064743028313387,0.24274679459631443
QC_no_E,train,eval,200,16,16,0.0029396865284070373,0.0010488382317817013,0.9800135520924796,0.0,0.0036873124045087025,0.0008634433540919417,0.04229988786391914,0.04331311653368175,0.9763351800038581,0.0,1.0330007207420215,0.6907255231849991,0.6835022040238458,0.0021212379579083063,0.24284967128187418
QC_no_E,train,eval,300,16,16,0.002816901571350172,-7.148242513110858e-05,1.0185538124358982,0.0,0.003782103260164149,-0.0012476835754569038,0.043384776916354895,0.04331311653368175,1.0013377252087774,0.0,1.0120352114455857,0.6746275204361863,0.675881773212991,0.0021270196739351377,0.24245279282331467
QC_no_E,train,eval,400,16,16,0.002598682971438393,0.0004585718392036142,1.0022955276236305,0.0,0.003640826224000193,2.725463673414197e-06,0.04348404356278479,0.04331311653368175,1.0038692684407933,0.0,0.9765565676127284,0.6687387485065368,0.6902553681943234,0.0020705765709863044,0.24262486677616835
QC_no_E,train,eval,500,16,16,0.0026777949678944424,-0.0006870872066429001,0.9873110133825161,0.0,0.0041075508488575,-0.0007125350452952262,0.04213357111439109,0.04331311653368175,0.9732936676408824,0.0,0.9885960741970924,0.6620961175465698,0.6717346927523729,0.002166702295653522,0.2425829228013754
QC_no_E,train,train,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.002609898721857462,-0.0003212297012851195,0.043050738517194986,0.04331311653368175,0.9927904954915647,0.0,0.9642980242867437,0.6827081530860779,0.7113498784793268,0.0018042649535345845,0.2426141845062375
QC_no_E,train,train,100,16,16,0.002866732218535617,0.0013480470806825906,1.0024063908071992,0.0,0.003680214984342456,0.0016786257110652514,0.043270409223623574,0.04331311653368175,0.9997934630569308,0.0,1.0139339204016373,0.680655606026338,0.6825649857083105,0.002064743028313387,0.24274679459631443
QC_no_E,train,train,200,16,16,0.0029396865284070373,0.0010488382317817013,0.9800135520924796,0.0,0.0036873124045087025,0.0008634433540919417,0.04229988786391914,0.04331311653368175,0.9763351800038581,0.0,1.0330007207420215,0.6907255231849991,0.6835022040238458,0.0021212379579083063,0.24284967128187418
QC_no_E,train,train,300,16,16,0.002816901571350172,-7.148242513110858e-05,1.0185538124358982,0.0,0.003782103260164149,-0.0012476835754569038,0.043384776916354895,0.04331311653368175,1.0013377252087774,0.0,1.0120352114455857,0.6746275204361863,0.675881773212991,0.0021270196739351377,0.24245279282331467
