arm,split,mode,step,image_count,eligible_image_count,mae_m,bias_m,mean_image_std_ratio,below_min_fraction,foreground_mae_m,foreground_bias_m,foreground_pred_std_m,foreground_gt_std_m,foreground_mean_image_std_ratio,flat_image_fraction,local_contrast_ratio,local_slope,local_correlation,local_difference_mae_m,sigmoid_derivative_mean
D0,train,eval,0,16,16,0.0018564014389994554,-0.00010113828636804101,0.9931656690085988,0.0,0.002609898721857462,-0.0003212297012851195,0.043050738517194986,0.04331311653368175,0.9927904954915647,0.0,0.9642980242867437,0.6827081530860779,0.7113498784793268,0.0018042649535345845,0.2426141845062375
D0,train,eval,50,16,16,0.0025247271842090413,-0.001105912583625468,0.9940570557127094,0.0,0.0038496160850627348,-0.0017801366651610806,0.0425622365437448,0.04331311653368175,0.98353711684097,0.0,1.001446593574956,0.6746747113638353,0.6830886544118016,0.001960723355296068,0.24249100498855114
D0,train,eval,100,16,16,0.002846931936801411,0.001231189333338989,1.0116029401461564,0.0,0.003596982089220546,0.0011065791633342315,0.043496433878317475,0.04331311653368175,1.0046425867224933,0.0,0.9967451993327083,0.6866769096159033,0.6995813079905395,0.001973817532416433,0.2426666570827365
D0,train,eval,200,16,16,0.002926365879829973,0.00024126760763465427,0.9741374355152779,0.0,0.00372685759793967,-0.00023886704832420946,0.04191947262734175,0.04331311653368175,0.9672792622899001,0.0,1.0047946025550905,0.6846982560107356,0.6875372141475914,0.001948728400748223,0.24278571642935276
D0,train,eval,300,16,16,0.0027222883654758334,-0.0004621311645678361,0.9929865999654658,0.0,0.003795249169343151,-0.001650634761517722,0.043303905869834125,0.04331311653368175,0.9986082989346592,0.0,0.9633584742473447,0.674764655868628,0.7053464893295461,0.001904032047605142,0.2425557980313897
D0,train,eval,400,16,16,0.0025383976608281955,-0.0004958732092745777,1.0088296277969575,0.0,0.003554755705408752,-0.001233063770996523,0.04380078613758087,0.04331311653368175,1.0106708183708506,0.0,0.9329839231196588,0.6565246827065028,0.7004818853579858,0.001877690214314498,0.24245506059378386
D0,train,eval,500,16,16,0.0026107719822903164,-0.0011762456178985303,0.9963343221647932,0.0,0.0038407203392125666,-0.00163538075867109,0.0432305719004944,0.04331311653368175,0.9982927056574102,0.0,0.9619968265910561,0.6688656924121325,0.6981427913260888,0.0019162739845342003,0.24244694598019123
D0,train,eval,600,16,16,0.0033971049560932443,-0.0024127876458805986,0.9816407382299281,0.0,0.004325511254137382,-0.0028518142498796806,0.04335750523023307,0.04331311653368175,0.9988363660265749,0.0,0.9736777946890377,0.6861601557979595,0.7067242624227161,0.0019509955600369722,0.2423697542399168
D0,train,eval,700,16,16,0.0026855512405745685,-0.0006215187377165421,1.0066095453482375,0.0,0.0037805621686857194,-0.001216299133375287,0.04250441712792963,0.04331311653368175,0.9837326070292434,0.0,0.9469923392841433,0.6657095241648734,0.7044541677016403,0.0019217559092794545,0.24247876182198524
D0,train,eval,800,16,16,0.002842069385224022,-0.0006608353102137698,0.9740205735157652,0.0,0.0035601299459813163,0.0004241854958308977,0.04227548779454082,0.04331311653368175,0.9759531365976749,0.0,1.0392009775492186,0.6764157667216519,0.6662465976765368,0.002040275023318827,0.24267561826854944
