batch_id,split,dataset_index,scene,frame,coordinate,loss,region,region_count,autograd_fixed_branch,gradient_state,coordinate_step_1e4,max_pixel_perturbation_m_1e4,frozen_fd_direct_1e4,frozen_fd_relerr_1e4,native_secant_1e4,native_vs_frozen_sign_flip_1e4,fd_from_raw_components_fp64_1e4,raw_components_fd_relerr_1e4,native_nn_switch_max_side_1e4,native_cdf_mask_switch_max_side_1e4,native_query_switch_max_side_1e4,coordinate_step_1e3,max_pixel_perturbation_m_1e3,frozen_fd_direct_1e3,frozen_fd_relerr_1e3,native_secant_1e3,native_vs_frozen_sign_flip_1e3,fd_from_raw_components_fp64_1e3,raw_components_fd_relerr_1e3,native_nn_switch_max_side_1e3,native_cdf_mask_switch_max_side_1e3,native_query_switch_max_side_1e3,coordinate_step_1e2,max_pixel_perturbation_m_1e2,frozen_fd_direct_1e2,frozen_fd_relerr_1e2,native_secant_1e2,native_vs_frozen_sign_flip_1e2,fd_from_raw_components_fp64_1e2,raw_components_fd_relerr_1e2,native_nn_switch_max_side_1e2,native_cdf_mask_switch_max_side_1e2,native_query_switch_max_side_1e2
0,train,0,scene_0000,0,mu,weighted_depth,gt_valid_foreground,98499,-4.794373618460668,connected_nonzero,4.370463687265162e-05,4.370463648228906e-05,-4.792755137452946,0.00033757924111093023,-4.792755137452946,0,,,0.0029296875,0.0,0.0009765625,0.0004370463687265162,0.0004370463720988482,-4.794255324022256,2.467359614120301e-05,-4.794255324022256,0,,,0.0400390625,0.0029296875,0.0009765625,0.004370463687265162,0.0043704635463654995,-4.778298794148684,0.003352851819909867,-4.778298794148684,0,,,0.3486328125,0.029296875,0.009765625
0,train,0,scene_0000,0,mu,weighted_view,gt_valid_foreground,98499,1.5271388280926481,connected_nonzero,4.370463687265162e-05,4.370463648228906e-05,1.526098882780066,0.0006809762763226221,0.9417080237351523,0,,,0.0029296875,0.0,0.0009765625,0.0004370463687265162,0.0004370463720988482,1.5206436588916654,0.004253162241375903,-11.0958571987082,1,,,0.0400390625,0.0029296875,0.0009765625,0.004370463687265162,0.0043704635463654995,1.5114243305202681,0.010290156522316258,-8.449412166937444,1,,,0.3486328125,0.029296875,0.009765625
0,train,0,scene_0000,0,mu,weighted_cdf,gt_valid_foreground,98499,1.129701271823013,connected_nonzero,4.370463687265162e-05,4.370463648228906e-05,1.1294018206454353,0.00026507111662764073,1.1294018206454353,0,,,0.0029296875,0.0,0.0009765625,0.0004370463687265162,0.0004370463720988482,1.1289457980235142,0.0006687376728183102,-0.1450109318772111,1,,,0.0400390625,0.0029296875,0.0009765625,0.004370463687265162,0.0043704635463654995,1.1207382432076691,0.00793398116732238,-4.306882638506983,1,,,0.3486328125,0.029296875,0.009765625
0,train,0,scene_0000,0,mu,weighted_width,gt_valid_foreground,98499,0.5267687123651899,connected_nonzero,4.370463687265162e-05,4.370463648228906e-05,0.5268979135335666,0.00024521100778386227,0.5268979135335666,0,,,0.0029296875,0.0,0.0009765625,0.0004370463687265162,0.0004370463720988482,0.5288200275754953,0.0038790422134921663,-0.9719504211664731,1,,,0.0400390625,0.0029296875,0.0009765625,0.004370463687265162,0.0043704635463654995,0.5399248177033207,0.024366550502518076,-0.17266039320407645,1,,,0.3486328125,0.029296875,0.009765625
0,train,0,scene_0000,0,mu,weighted_task,gt_valid_foreground,98499,3.183608851372484,connected_nonzero,4.370463687265162e-05,4.370463648228906e-05,3.1824412358956957,0.00036675845912570936,2.5980503768507823,0,3.1820363559977287,0.0004939348544898747,0.0029296875,0.0,0.0009765625,0.0004370463687265162,0.0004370463720988482,3.1784180082780007,0.0016304902193765244,-12.212882480156829,1,3.1784105499640907,0.0016328329424490555,0.0400390625,0.0029296875,0.0009765625,0.004370463687265162,0.0043704635463654995,3.172089948567456,0.003618190343974669,-12.92895562483787,1,3.1720851539370853,0.003619696380235512,0.3486328125,0.029296875,0.009765625
0,train,0,scene_0000,0,alpha,weighted_depth,gt_valid_foreground,98499,0.0010204431621287204,connected_nonzero,0.0001,6.6251068346900865e-06,0.001043081283569336,0.021703123042482186,0.001043081283569336,0,,,0.0,0.0,0.0,0.001,6.625107198487967e-05,0.0010132789611816406,0.007020676126767029,0.0010132789611816406,0,,,0.001953125,0.0,0.0,0.01,0.0006625106907449663,0.001019984483718872,0.0004494894246647523,0.001019984483718872,0,,,0.015625,0.0,0.0009765625
0,train,0,scene_0000,0,alpha,weighted_view,gt_valid_foreground,98499,-0.01775464180304859,connected_nonzero,0.0001,6.6251068346900865e-06,-0.017583370208740234,0.009646581226941347,-0.017583370208740234,0,,,0.0,0.0,0.0,0.001,6.625107198487967e-05,-0.01773238182067871,0.0012537556441188167,0.043332576751708984,1,,,0.001953125,0.0,0.0,0.01,0.0006625106907449663,-0.01774132251739502,0.0007501861091494648,0.07386207580566406,1,,,0.015625,0.0,0.0009765625
0,train,0,scene_0000,0,alpha,weighted_cdf,gt_valid_foreground,98499,0.01510634434380231,connected_nonzero,0.0001,6.6251068346900865e-06,0.015031546354293823,0.004951428870292794,0.015031546354293823,0,,,0.0,0.0,0.0,0.001,6.625107198487967e-05,0.015113502740859985,0.0004736424891313959,0.015113502740859985,0,,,0.001953125,0.0,0.0,0.01,0.0006625106907449663,0.015105679631233215,4.400221218097904e-05,0.015105679631233215,0,,,0.015625,0.0,0.0009765625
0,train,0,scene_0000,0,alpha,weighted_width,gt_valid_foreground,98499,0.008478961520719228,connected_nonzero,0.0001,6.6251068346900865e-06,0.008512288331985474,0.003915141260078996,0.008512288331985474,0,,,0.0,0.0,0.0,0.001,6.625107198487967e-05,0.008471310138702393,0.0009023961245889323,0.008471310138702393,0,,,0.001953125,0.0,0.0,0.01,0.0006625106907449663,0.008475594222545624,0.00039713568287533393,0.008475594222545624,0,,,0.015625,0.0,0.0009765625
0,train,0,scene_0000,0,alpha,weighted_task,gt_valid_foreground,98499,0.005830664477842079,connected_nonzero,0.0001,6.6251068346900865e-06,0.006258487701416016,0.06835888220682114,0.006258487701416016,0,0.00585801899433136,0.004669584806015588,0.0,0.0,0.0,0.001,6.625107198487967e-05,0.005841255187988281,0.0018130880787369334,0.06690621376037598,0,0.005844514816999435,0.0023698013592284356,0.001953125,0.0,0.0,0.01,0.0006625106907449663,0.005841255187988281,0.0018130880787369334,0.09744465351104736,0,0.005839485675096512,0.0015106120205161076,0.015625,0.0,0.0009765625
1,validation_test_seen,1097,scene_0104,73,mu,weighted_depth,gt_valid_foreground,40702,1.2495515300324769,connected_nonzero,4.19215436807183e-05,4.192154301563278e-05,1.2493303372834828,0.0001770177088962283,1.2493303372834828,0,,,0.0068359375,0.0068359375,0.0009765625,0.000419215436807183,0.000419215444708243,1.2466288903631173,0.0023389508948731476,1.2466288903631173,0,,,0.0732421875,0.0380859375,0.0009765625,0.00419215436807183,0.004192154388874769,1.1655381629993546,0.06723481586304701,1.1655381629993546,0,,,0.6552734375,0.314453125,0.0146484375
1,validation_test_seen,1097,scene_0104,73,mu,weighted_view,gt_valid_foreground,40702,-0.9212503535958869,connected_nonzero,4.19215436807183e-05,4.192154301563278e-05,-0.9192028600085601,0.002222515931022326,-5.151232732886331,0,,,0.0068359375,0.0068359375,0.0009765625,0.000419215436807183,0.000419215444708243,-0.9149374175027198,0.006852573861736927,6.30389747938121,1,,,0.0732421875,0.0380859375,0.0009765625,0.00419215436807183,0.004192154388874769,-0.9145393095355081,0.007284712601936932,7.623547190908891,1,,,0.6552734375,0.314453125,0.0146484375
1,validation_test_seen,1097,scene_0104,73,mu,weighted_cdf,gt_valid_foreground,40702,0.07423826552948523,connected_nonzero,4.19215436807183e-05,4.192154301563278e-05,0.07420092692451156,0.0005029563218827691,-6.3898106005196755,1,,,0.0068359375,0.0068359375,0.0009765625,0.000419215436807183,0.000419215444708243,0.07414760889318857,0.0012211577903939112,-4.294865172791929,1,,,0.0732421875,0.0380859375,0.0009765625,0.00419215436807183,0.004192154388874769,0.087302944488284,0.14964763256698682,-3.50127248550952,1,,,0.6552734375,0.314453125,0.0146484375
1,validation_test_seen,1097,scene_0104,73,mu,weighted_width,gt_valid_foreground,40702,-0.13879072172055024,connected_nonzero,4.19215436807183e-05,4.192154301563278e-05,-0.13882682405726732,0.00026005303342665554,1.8356953867582009,1,,,0.0068359375,0.0068359375,0.0009765625,0.000419215436807183,0.000419215444708243,-0.1389601191355748,0.0012190361959843131,0.2596588125430213,1,,,0.0732421875,0.0380859375,0.0009765625,0.00419215436807183,0.004192154388874769,-0.1374238933580808,0.009848124900031043,1.583603291493769,1,,,0.6552734375,0.314453125,0.0146484375
1,validation_test_seen,1097,scene_0104,73,mu,weighted_task,gt_valid_foreground,40702,-0.9858028064495539,connected_nonzero,4.19215436807183e-05,4.192154301563278e-05,-0.9846063117647763,0.0012137261904202016,-9.705303514955038,0,-0.9838009873333351,0.0020306486278208937,0.0068359375,0.0068359375,0.0009765625,0.000419215436807183,0.000419215444708243,-0.9797721435914907,0.0061175143939619136,2.2687177781479644,1,-0.9797721435914907,0.0061175143939619136,0.0732421875,0.0380859375,0.0009765625,0.00419215436807183,0.004192154388874769,-0.9646653680499734,0.021441852530029438,5.7058753309915735,1,-0.9646584811375941,0.021448838625356223,0.6552734375,0.314453125,0.0146484375
1,validation_test_seen,1097,scene_0104,73,alpha,weighted_depth,gt_valid_foreground,40702,-0.020549805197314065,connected_nonzero,0.0001,1.645731936150696e-05,-0.02055428922176361,0.00021815516952042077,-0.02055428922176361,0,,,0.0009765625,0.0009765625,0.0009765625,0.001,0.00016457319725304842,-0.020578503608703613,0.0013945820325541132,-0.020578503608703613,0,,,0.0126953125,0.005859375,0.001953125,0.01,0.0016457318561151624,-0.02038087695837021,0.008220430185193972,-0.02038087695837021,0,,,0.1015625,0.05859375,0.001953125
1,validation_test_seen,1097,scene_0104,73,alpha,weighted_view,gt_valid_foreground,40702,0.04299727102689738,connected_nonzero,0.0001,1.645731936150696e-05,0.043511390686035156,0.011815748727672465,1.138746738433838,0,,,0.0009765625,0.0009765625,0.0009765625,0.001,0.00016457319725304842,0.042885541915893555,0.002598516332209289,-0.35139918327331543,1,,,0.0126953125,0.005859375,0.001953125,0.01,0.0016457318561151624,0.042685866355895996,0.007242428730106577,-0.4403054714202881,1,,,0.1015625,0.05859375,0.001953125
1,validation_test_seen,1097,scene_0104,73,alpha,weighted_cdf,gt_valid_foreground,40702,-0.007020880609053102,connected_nonzero,0.0001,1.645731936150696e-05,-0.007040798664093018,0.0028289482472342482,1.012645661830902,1,,,0.0009765625,0.0009765625,0.0009765625,0.001,0.00016457319725304842,-0.007010996341705322,0.0014078386883598084,0.30183419585227966,1,,,0.0126953125,0.005859375,0.001953125,0.01,0.0016457318561151624,-0.007019937038421631,0.00013439491197939595,0.4585038870573044,1,,,0.1015625,0.05859375,0.001953125
1,validation_test_seen,1097,scene_0104,73,alpha,weighted_width,gt_valid_foreground,40702,-0.0003887298263553756,connected_nonzero,0.0001,1.645731936150696e-05,-0.00034458935260772705,0.11355051955106596,0.00542961061000824,1,,,0.0009765625,0.0009765625,0.0009765625,0.001,0.00016457319725304842,-0.000391155481338501,0.006201255252323158,-0.005369074642658234,0,,,0.0126953125,0.005859375,0.001953125,0.01,0.0016457318561151624,-0.00037634745240211487,0.031853418785366905,0.03982791677117348,1,,,0.1015625,0.05859375,0.001953125
1,validation_test_seen,1097,scene_0104,73,alpha,weighted_task,gt_valid_foreground,40702,0.0355876612279052,connected_nonzero,0.0001,1.645731936150696e-05,0.03635883331298828,0.02121003384362166,2.156496047973633,0,0.03591645509004593,0.009154407396732516,0.0009765625,0.0009765625,0.0009765625,0.001,0.00016457319725304842,0.03546476364135742,0.003453376319414107,-0.054895877838134766,1,0.03548525273799896,0.0028776403498507433,0.0126953125,0.005859375,0.001953125,0.01,0.0016457318561151624,0.03529191017150879,0.00831049431718503,0.05802512168884277,0,0.03528853412717581,0.008405359903078993,0.1015625,0.05859375,0.001953125
