step,arm,split,module_mode,scene,frame,index,image_index,valid_count,valid_mae,valid_bias,valid_pred_std,valid_gt_std,valid_std_ratio,valid_span_ratio,valid_below_min_fraction,valid_above_max_fraction,foreground_count,foreground_mae,foreground_bias,foreground_pred_std,foreground_gt_std,foreground_std_ratio,foreground_span_ratio,foreground_below_min_fraction,foreground_above_max_fraction,background_count,background_mae,background_bias,background_pred_std,background_gt_std,background_std_ratio,background_span_ratio,background_below_min_fraction,background_above_max_fraction,local_slope,local_contrast_ratio,local_correlation,local_difference_mae,local_gt_rms,local_pred_rms,local_pair_count,sigmoid_derivative_mean,sigmoid_extreme_fraction,native_loss
0,D0,train,train,scene_0000,128,128,0,199291,0.0019101175712421536,-0.00017515274521429092,0.04983876273036003,0.05072623863816261,0.982504598574062,0.99402348767053,0.0,0.0,97957,0.0018345427233725786,-0.0004080461512785405,0.043639831244945526,0.04420310631394386,0.9872571157104257,0.9969699642632197,0.0,0.0,101334,0.0019831738900393248,4.9979411414824426e-05,0.052469320595264435,0.05377337336540222,0.9757490986984124,0.9958924173016275,0.0,0.0,0.7659206823486099,0.9269646000739353,0.8251162196186771,0.0013063499936833978,0.008893096819519997,0.00824358593672514,4096,0.2438516765832901,0.0,0.5471495985984802
0,D0,train,train,scene_0006,128,1664,0,200073,0.0018496711272746325,-0.0004723304882645607,0.06372245401144028,0.06395228207111359,0.9964062570993519,0.9944966965712279,0.0,0.0,62719,0.0029492578469216824,-0.0007841666811145842,0.05397443100810051,0.05385834351181984,1.0021554227016878,0.9909237959279783,0.0,0.0,137354,0.001347574288956821,-0.0003299388336017728,0.05232429876923561,0.0529913492500782,0.9874120872504184,0.987699092244848,0.0,0.0,0.6175548885846734,1.1774884600547177,0.5249867176019407,0.002156961476430297,0.008401311933994293,0.009892447851598263,4096,0.24204128980636597,0.0,0.6106597781181335
0,D0,train,train,scene_0013,128,3456,0,200704,0.002080730628222227,-2.5342731532873586e-05,0.06899235397577286,0.0688348039984703,1.0022888127538803,0.9977459553759029,0.0,0.0,89703,0.0031046944204717875,-0.00038132088957354426,0.047260552644729614,0.04699346423149109,1.0056835225409824,0.9986305124660871,0.0,0.0,111001,0.0012532371329143643,0.00026233322569169104,0.050843384116888046,0.05120379477739334,0.9929612509761793,0.9940771380167653,0.0,0.0,0.7709486798577994,1.1078599962930307,0.6953009807096833,0.0018728780560195446,0.00777825340628624,0.008617215789854527,4096,0.2376280426979065,0.0,0.6794101595878601
0,D0,train,train,scene_0019,128,4992,0,200704,0.001724730827845633,-0.00019597030768636614,0.05603909119963646,0.055892203003168106,1.0026280623875217,1.0030284316046696,0.0,0.0,58792,0.003359090769663453,-0.001280751544982195,0.04443421587347984,0.04431021586060524,1.0027984520153252,0.9998841226567232,0.0,0.0,141912,0.0010476401075720787,0.00025343819288536906,0.05199946090579033,0.05229644477367401,0.9943211461282129,0.9994179423379742,0.0,0.0,0.44061176769396926,0.8052066808802814,0.5470966615243803,0.0022441542241722345,0.011479240842163563,0.009243161417543888,4096,0.24315088987350464,0.0,0.573624312877655
0,D0,train,train,scene_0026,128,6784,0,200606,0.0016340408474206924,-0.0005065575242042542,0.05428134277462959,0.05439907684922218,0.9978357339607267,0.9980014915184352,0.0,0.0,73365,0.0020465650595724583,-0.0007621520198881626,0.040074460208415985,0.03955148905515671,1.0132225401812298,1.0061724448717178,0.0,0.0,127241,0.0013961863005533814,-0.0003591860586311668,0.05355484411120415,0.05409681051969528,0.9899815459860832,0.9899622679290643,0.0,0.0,0.8502879726346065,0.9902098402200638,0.8572079369919855,0.001395947765558958,0.00924619846045971,0.009155676700174809,4096,0.24413801729679108,0.0,0.585644006729126
0,D0,train,train,scene_0033,128,8576,0,199769,0.0021637340541929007,-7.048700354062021e-05,0.06779144704341888,0.06836948543787003,0.9915453745080994,1.0009133461276192,0.0,0.0,68040,0.0029201291035860777,-0.0001627116434974596,0.06258748471736908,0.06265620142221451,0.998903273685834,0.9884690433666173,0.0,0.0,131729,0.0017730448162183166,-2.2851594621897675e-05,0.055986907333135605,0.05706477537751198,0.981111499392651,0.9975301326948317,0.0,0.0,0.6069724699549033,1.2024358371512178,0.5034364642451656,0.002527839271351695,0.010004051961004734,0.01202923059463501,4096,0.24153903126716614,0.0,0.5778198838233948
0,D0,train,train,scene_0039,128,10112,0,200702,0.001738628838211298,0.00020578176190610975,0.055774785578250885,0.0558958500623703,0.997834106038564,1.0051936414559073,0.0,0.0,79754,0.002594761783257127,0.00018672893929760903,0.05063064768910408,0.05079520866274834,0.9967603051945932,1.0021664132870955,0.0,0.0,120948,0.001174088683910668,0.00021834534709341824,0.05104410648345947,0.051167383790016174,0.9975907053004193,0.9972243020338244,0.0,0.0,0.7801814999789354,0.9408934730943533,0.8291836624855179,0.0019271279452368617,0.010834875516593456,0.010194463655352592,4096,0.2423471361398697,0.0,0.45922067761421204
0,D0,train,train,scene_0046,128,11904,0,200574,0.001537717180326581,-1.9039709513890557e-05,0.05253611132502556,0.053314391523599625,0.9854020616885487,0.9927734175591821,0.0,0.0,61885,0.0024483748711645603,-1.0504918463993818e-05,0.028931908309459686,0.02987593784928322,0.9684016768080744,0.9855379447046335,0.0,0.0,138689,0.001131368917413056,-2.2847998479846865e-05,0.05425198748707771,0.05511162057518959,0.9844019631587667,0.9940077604446269,0.0,0.0,0.6893862685419081,0.9264392022732455,0.7441369145257529,0.0014486969448626041,0.00677051255479455,0.006272468250244856,4096,0.24400392174720764,0.0,0.5950137972831726
0,D0,train,train,scene_0052,128,13440,0,200635,0.0018039719434455037,-0.0007072825101204216,0.05303316190838814,0.053535621613264084,0.9906144789257204,0.9951705511793352,0.0,0.0,91160,0.002319993684068322,-0.0010753509122878313,0.03188004344701767,0.03297131881117821,0.966902283453989,0.9740538190108129,0.0,0.0,109475,0.0013742800801992416,-0.0004007914394605905,0.05466321110725403,0.05531821399927139,0.9881593629898103,0.9920901490510626,0.0,0.0,0.6018930195536774,0.7990929726406464,0.7508109138564816,0.001259590731933713,0.006577382795512676,0.005255940370261669,4096,0.24306021630764008,0.0,0.540127694606781
0,D0,train,train,scene_0059,128,15232,0,199735,0.00222457991912961,-0.0003294798079878092,0.06677894294261932,0.06833288073539734,0.9772592963145332,0.9915627690056386,0.0,0.0,85876,0.0021473634988069534,-0.00035709928488358855,0.04993473365902901,0.05037938058376312,0.9911740295418118,0.9792107020660155,0.0,0.0,113859,0.0022828190121799707,-0.0003086483629886061,0.05937682092189789,0.06215624138712883,0.9552833246798206,0.9888066635725398,0.0,0.0,0.7759727619796084,0.9284681015895215,0.8349167541084462,0.0015585348010063171,0.009780775755643845,0.009081138297915459,4096,0.24069850146770477,0.0,0.5406793355941772
0,D0,train,train,scene_0066,128,17024,0,200531,0.0015762345865368843,0.00010984634718624875,0.04652264341711998,0.04653300344944,0.9997773616239648,1.0000079194978873,0.0,0.0,53207,0.0028052127454429865,-0.00016466868692077696,0.038387030363082886,0.03818947449326515,1.0051730449931322,1.015265276692904,0.0,0.0,147324,0.0011323810322210193,0.00020898922230117023,0.047446127980947495,0.047568727284669876,0.9974226911098819,0.9944084681340233,0.0,0.0,0.5404757787546307,0.8467937451562473,0.6331012693555362,0.0019925152882933617,0.009781885892152786,0.008283239789307117,4096,0.24480469524860382,0.0,0.606839656829834
0,D0,train,train,scene_0072,128,18560,0,200356,0.0018768965965136886,5.318709372659214e-05,0.05541461706161499,0.05605534091591835,0.9885697982773054,0.9905745556602521,0.0,0.0,66762,0.002830896060913801,-3.85916828236077e-05,0.0407201386988163,0.04116056486964226,0.9892998025605136,1.0025465986346935,0.0,0.0,133594,0.0014001465169712901,9.905243496177718e-05,0.053097717463970184,0.05397564545273781,0.9837347384842974,0.9958953185652378,0.0,0.0,0.8204783021905432,0.9606846740248703,0.8535835942901614,0.00216650846414268,0.011699389666318893,0.011239424347877502,4096,0.2438332438468933,0.0,0.59874027967453
0,D0,train,train,scene_0079,128,20352,0,200683,0.001692367484793067,0.0002335279859835282,0.06019514426589012,0.06036735698580742,0.9971472542692603,0.9890893679255744,0.0,0.0,98725,0.0017967320745810866,-2.05855758395046e-05,0.038714949041604996,0.039067342877388,0.9909798361027781,0.9868799511532651,0.0,0.0,101958,0.0015913124661892653,0.00047958383220247924,0.05672008544206619,0.05715063586831093,0.9924663930732665,0.9921333487376492,0.0,0.0,0.7660729253476443,1.0426532399160324,0.7345648185578858,0.001137558720074594,0.005860729143023491,0.006110708229243755,4096,0.2404676079750061,0.0,0.5524994730949402
0,D0,train,train,scene_0085,128,21888,0,200633,0.002129120985046029,7.57534071453847e-05,0.04998651146888733,0.050385165959596634,0.992087859926293,0.9993340534057741,0.0,0.0,90883,0.002631142968311906,-0.00018315915076527745,0.03747858107089996,0.038099657744169235,0.9836986285430787,0.9811869737323872,0.0,0.0,109750,0.001713401172310114,0.0002901566622313112,0.052547551691532135,0.053024355322122574,0.9910078372911116,0.9951675937605214,0.0,0.0,0.7266945908836923,0.9306909278456255,0.7807010445308674,0.001593244494870305,0.008934836834669113,0.008315571583807468,4096,0.24283400177955627,0.0,0.6232005953788757
0,D0,train,train,scene_0092,128,23680,0,200680,0.0017485212301835418,0.00012171767593827099,0.051954250782728195,0.05243854597210884,0.990764519107028,0.9952661673165613,0.0,0.0,55656,0.003177361097186804,0.0005664660129696131,0.0370183140039444,0.037250760942697525,0.9937599411966188,1.0030035234362733,0.0,0.0,145024,0.0012001738650724292,-4.8963855078909546e-05,0.05232902243733406,0.05279667675495148,0.9911423531487035,0.9937156838688976,0.0,0.0,0.6374708917786224,0.932969073783657,0.6820801808949797,0.002414217684417963,0.009336077608168125,0.008710271678864956,4096,0.24457629024982452,0.0,0.6684136390686035
0,D0,train,train,scene_0099,128,25472,0,200699,0.002011359203606844,8.361597429029644e-05,0.055329330265522,0.05544103682041168,0.9979851286827206,1.005494930865473,0.0,0.0,77958,0.002792260842397809,-0.00026376103051006794,0.04314449429512024,0.0436473973095417,0.9884780526349615,1.0053646202272193,0.0,0.0,122741,0.0015153753338381648,0.00030424981378018856,0.05083559453487396,0.05100555345416069,0.9966678350144857,0.9992598077000273,0.0,0.0,0.5324079492934232,0.9099175635904543,0.5853739223717682,0.001866113394498825,0.0100361043587327,0.009132027626037598,4096,0.24285238981246948,0.0,0.601832389831543
0,D0,validation_test_seen,train,scene_0100,128,128,0,199556,0.003027058206498623,0.0004052179865539074,0.052211083471775055,0.052054379135370255,1.0030103968005704,0.9961481976798002,0.0,0.0,57517,0.005371097009629011,-0.00024186614609789103,0.03613379970192909,0.037038180977106094,0.9755824597396936,0.9985686608189732,0.0,0.0,142039,0.002077867742627859,0.0006672470481134951,0.05341482162475586,0.053139571100473404,1.0051797656357073,0.9948360534899902,0.0,0.0,0.5865144145361788,0.9923047526528783,0.5899435414441447,0.0019300282001495361,0.005813529249280691,0.005768792703747749,4096,0.24487215280532837,0.0,1.061164140701294
0,D0,validation_test_seen,train,scene_0101,128,384,0,200668,0.003060603281483054,-0.0003715743077918887,0.056095290929079056,0.05655544623732567,0.9918636428697664,0.9980899267135398,0.0,0.0,66409,0.005210626870393753,-0.0019975106697529554,0.05064500495791435,0.053048230707645416,0.9546973439514788,0.9365083759891004,0.0,0.0,134259,0.0019971297588199377,0.00043266831198707223,0.048492006957530975,0.04894638806581497,0.9907167591677445,1.001303800789133,0.0,0.0,0.6434898848484483,0.9070721222209568,0.7063058616819345,0.0015231732977554202,0.0050209034234285355,0.004554321523755789,4096,0.24439306557178497,0.0,0.8669642806053162
