source_step,target_loss,branch,split,mode,images,global_grad_preclip,clip_coefficient,depth_parameter_update_l2,valid_mae_m,valid_bias_m,foreground_mae_m,foreground_bias_m,background_mae_m,background_bias_m,local_slope,local_correlation,local_contrast_ratio,local_difference_mae,sigmoid_derivative_mean,sigmoid_extreme_fraction,delta_valid_mae_m_from_before_optimizer,delta_valid_bias_m_from_before_optimizer,delta_foreground_mae_m_from_before_optimizer,delta_foreground_bias_m_from_before_optimizer,delta_background_mae_m_from_before_optimizer,delta_background_bias_m_from_before_optimizer,delta_local_slope_from_before_optimizer,delta_local_correlation_from_before_optimizer,delta_local_contrast_ratio_from_before_optimizer,delta_local_difference_mae_from_before_optimizer,delta_sigmoid_derivative_mean_from_before_optimizer,delta_sigmoid_extreme_fraction_from_before_optimizer,delta_valid_mae_m_from_normal_A,delta_valid_bias_m_from_normal_A,delta_foreground_mae_m_from_normal_A,delta_foreground_bias_m_from_normal_A,delta_background_mae_m_from_normal_A,delta_background_bias_m_from_normal_A,delta_local_slope_from_normal_A,delta_local_correlation_from_normal_A,delta_local_contrast_ratio_from_normal_A,delta_local_difference_mae_from_normal_A,delta_sigmoid_derivative_mean_from_normal_A,delta_sigmoid_extreme_fraction_from_normal_A,images_with_lower_mae_than_normal_A
200,view,normal_A,train,eval,16,6.397886753082275,0.1563015878200531,0.0861793472926722,0.011727645702194422,-0.0008398052414122503,0.02308985817944631,-0.0031211895325213845,0.00495002513343934,0.0004743580652757373,0.5090331567088364,0.48253993252158695,1.061775318845851,0.003823825900326483,0.24263256508857012,0.0,0.00027054763631895185,-0.0004287242736609187,0.0001744824694469571,-0.0015630065568075224,0.00032876354816835374,0.00024706956514819467,0.009234666948396562,-0.002017004733790396,0.0247018593144145,4.7863941290415823e-05,-0.0001667328178882599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200,view,normal_A,validation_test_seen,eval,32,6.397886753082275,0.1563015878200531,0.0861793472926722,0.011087296763435006,-0.002585882245860205,0.02360672625945881,-0.00912890127801802,0.005241508370090742,0.0005530169166831911,0.5444020152952577,0.4595771622204129,1.1717693778346867,0.0039545793770230375,0.2428861130028963,0.0,0.0004082916129846126,-0.00035589948101488744,0.000553051708266139,-0.0016295320201606955,0.00034167701232945547,0.00025338306909361563,0.012388894260215944,0.0002696645031423448,0.026613321980095563,5.4911026381887496e-05,-0.0001563793048262596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200,view,normal_B,train,eval,16,6.397886753082275,0.1563015878200531,0.0861793472926722,0.011727645702194422,-0.0008398052414122503,0.02308985817944631,-0.0031211895325213845,0.00495002513343934,0.0004743580652757373,0.5090331567088364,0.48253993252158695,1.061775318845851,0.003823825900326483,0.24263256508857012,0.0,0.00027054763631895185,-0.0004287242736609187,0.0001744824694469571,-0.0015630065568075224,0.00032876354816835374,0.00024706956514819467,0.009234666948396562,-0.002017004733790396,0.0247018593144145,4.7863941290415823e-05,-0.0001667328178882599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200,view,normal_B,validation_test_seen,eval,32,6.397886753082275,0.1563015878200531,0.0861793472926722,0.011087296763435006,-0.002585882245860205,0.02360672625945881,-0.00912890127801802,0.005241508370090742,0.0005530169166831911,0.5444020152952577,0.4595771622204129,1.1717693778346867,0.0039545793770230375,0.2428861130028963,0.0,0.0004082916129846126,-0.00035589948101488744,0.000553051708266139,-0.0016295320201606955,0.00034167701232945547,0.00025338306909361563,0.012388894260215944,0.0002696645031423448,0.026613321980095563,5.4911026381887496e-05,-0.0001563793048262596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200,view,remove_fixed_clip,train,eval,16,6.406269550323486,0.1563015878200531,0.08380346677447015,0.011530043149832636,-0.0005006406208849512,0.02280191023601219,-0.0024525501548851025,0.00481099406897556,0.0006122168238107406,0.5060844112146597,0.4815671089260298,1.0580513518255101,0.003814849114860408,0.24272052105516195,0.0,7.294508395716548e-05,-8.955965313361958e-05,-0.00011346547398716211,-0.0008943671791712404,0.0001897324837045744,0.00038492832368319796,0.006285921454219891,-0.00298982832934757,0.020977892294073472,3.888715582434088e-05,-7.877685129642487e-05,0.0,-0.00019760255236178637,0.0003391646205272991,-0.0002879479434341192,0.000668639377636282,-0.00013903106446377933,0.0001378587585350033,-0.002948745494176671,-0.0009728235955571742,-0.003723967020341029,-8.976785466074944e-06,8.795596659183502e-05,0.0,15
200,view,remove_fixed_clip,validation_test_seen,eval,32,6.406269550323486,0.1563015878200531,0.08380346677447015,0.01086887034762185,-0.002257195868423878,0.023214633634779602,-0.008412555878749117,0.005108809724333696,0.0006946385685466794,0.540401207965532,0.4585752032288099,1.165840401977052,0.00393995033664396,0.24297197116538882,0.0,0.0001898651971714571,-2.721310357856055e-05,0.00016095908358693123,-0.0009131866208917927,0.00020897836657240987,0.00039500472095710393,0.008388086930490252,-0.0007322944884606622,0.020684346122460864,4.02819860028103e-05,-7.052114233374596e-05,0.0,-0.00021842641581315547,0.0003286863774363269,-0.0003920926246792078,0.0007163453992689028,-0.0001326986457570456,0.0001416216518634883,-0.0040008073297256915,-0.001001958991603007,-0.005928975857634699,-1.4629040379077196e-05,8.585816249251366e-05,0.0,31
200,view,remove_recomputed_clip,train,eval,16,6.406269550323486,0.15609705448150635,0.08379643118644348,0.011530218471307307,-0.0005010351706005167,0.022802283405326307,-0.0024532545803594985,0.004811045480892062,0.0006120104158071626,0.5060864912448224,0.4815685003977154,1.0580523441335206,0.0038148562744027004,0.24272045120596886,0.0,7.312040543183684e-05,-8.99542028491851e-05,-0.00011309230467304587,-0.0008950716046456364,0.00018978389562107623,0.00038472191567962,0.00628800148438257,-0.0029884368576619177,0.02097888460208395,3.8894315366633236e-05,-7.884670048952103e-05,0.0,-0.000197427230887115,0.0003387700708117336,-0.000287574774120003,0.000667934952161886,-0.0001389796525472775,0.00013765235053142533,-0.0029466654640139915,-0.0009714321238715219,-0.0037229747123305526,-8.969625923782587e-06,8.788611739873886e-05,0.0,15
200,view,remove_recomputed_clip,validation_test_seen,eval,32,6.406269550323486,0.15609705448150635,0.08379643118644348,0.010869053628994152,-0.002257597686138979,0.023215095861814916,-0.008413317780650686,0.005108857410959899,0.0006944086509719227,0.540404704321558,0.45857653261640535,1.1658442189672937,0.003939963593438733,0.2429719027131796,0.0,0.0001900484785437584,-2.761492129366161e-05,0.00016142131062224507,-0.0009139485227933619,0.00020902605319861323,0.00039477480338234727,0.008391583286516211,-0.0007309651008652121,0.020688163112702638,4.029524279758334e-05,-7.05895945429802e-05,0.0,-0.0002182431344408542,0.00032828455972122583,-0.00039163039764389396,0.0007155834973673336,-0.00013265095913084224,0.00014139173428873164,-0.003997310973699732,-0.001000629604007557,-0.005925158867392925,-1.4615783584304154e-05,8.578971028327942e-05,0.0,31
300,view,normal_A,train,eval,16,4.422872543334961,0.22609736025333405,0.08321255353970436,0.009724484843900427,0.003083374693233054,0.019124474027194083,0.009928904432854324,0.0040658760408405215,-0.0013681568721040094,0.4525854435239037,0.45358381649634405,1.027708515486501,0.0037619057547999546,0.24354616459459066,0.0,-2.3738539312034845e-06,-0.0002992980776070908,-0.00018482765881344676,-0.00036399737427927903,0.00011912576155737042,-0.00024818318661345984,0.008677373777769132,0.006844387005163868,0.002457992405019614,-2.6896013878285885e-06,-5.277711898088455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,view,normal_A,validation_test_seen,eval,32,4.422872543334961,0.22609736025333405,0.08321255353970436,0.00852705338911619,0.001382213995782422,0.01809094296186231,0.005483655529133102,0.004047377296956256,-0.0006401992707196769,0.4722338772847035,0.43778329398260785,1.067210700635444,0.003761178108106833,0.2437750855460763,0.0,2.4484412278980017e-05,-0.00029658785052788517,-6.968581874389201e-05,-0.0003373624367668526,6.729726010235026e-05,-0.0002724262411675227,0.009030358866515686,0.00643036485228239,0.0040556371140160925,4.349145456217229e-06,-4.9340538680553436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
300,view,normal_B,train,eval,16,4.422872543334961,0.22609736025333405,0.08321255353970436,0.009724484843900427,0.003083374693233054,0.019124474027194083,0.009928904432854324,0.0040658760408405215,-0.0013681568721040094,0.4525854435239037,0.45358381649634405,1.027708515486501,0.0037619057547999546,0.24354616459459066,0.0,-2.3738539312034845e-06,-0.0002992980776070908,-0.00018482765881344676,-0.00036399737427927903,0.00011912576155737042,-0.00024818318661345984,0.008677373777769132,0.006844387005163868,0.002457992405019614,-2.6896013878285885e-06,-5.277711898088455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
