source_step,target_loss,branch,split,mode,index,scene,frame,valid_mae_m,valid_bias_m,foreground_mae_m,foreground_bias_m,background_mae_m,background_bias_m,local_slope,local_correlation,local_contrast_ratio,local_difference_mae,sigmoid_derivative_mean,sigmoid_extreme_fraction,delta_valid_mae_m_from_before_optimizer,delta_valid_bias_m_from_before_optimizer,delta_foreground_mae_m_from_before_optimizer,delta_foreground_bias_m_from_before_optimizer,delta_background_mae_m_from_before_optimizer,delta_background_bias_m_from_before_optimizer,delta_local_slope_from_before_optimizer,delta_local_correlation_from_before_optimizer,delta_local_contrast_ratio_from_before_optimizer,delta_local_difference_mae_from_before_optimizer,delta_sigmoid_derivative_mean_from_before_optimizer,delta_sigmoid_extreme_fraction_from_before_optimizer,delta_valid_mae_m_from_normal_A,delta_valid_bias_m_from_normal_A,delta_foreground_mae_m_from_normal_A,delta_foreground_bias_m_from_normal_A,delta_background_mae_m_from_normal_A,delta_background_bias_m_from_normal_A,delta_local_slope_from_normal_A,delta_local_correlation_from_normal_A,delta_local_contrast_ratio_from_normal_A,delta_local_difference_mae_from_normal_A,delta_sigmoid_derivative_mean_from_normal_A,delta_sigmoid_extreme_fraction_from_normal_A
200,view,normal_A,train,eval,128,scene_0000,128,0.011265668086707592,-0.008067321963608265,0.0165452528744936,-0.015118313021957874,0.006162026431411505,-0.001251308829523623,0.7715583040697395,0.7235995032436919,1.063631060782981,0.002543241484090686,0.24240867793560028,0.0,0.0004219496622681618,-0.00026560062542557716,0.0004896633327007294,-0.0008224891498684883,0.00035649025812745094,0.00027272989973425865,0.00897768290443779,-0.004019297504080033,0.01815310470641096,3.986316733062267e-05,-0.00014071166515350342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,1664,scene_0006,128,0.011967957951128483,0.0015515051782131195,0.029552798718214035,0.005271489731967449,0.003938316833227873,-0.00014712549454998225,0.43567082116754174,0.35883041040042485,1.2127730898674625,0.004286356270313263,0.24283257126808167,0.0,0.00028197187930345535,-0.0004867690149694681,0.00040657445788383484,-0.002148006111383438,0.00022507691755890846,0.0002717898605624214,0.006592428466663525,-0.0018130084710828998,0.02405984365092384,7.496168836951256e-05,-0.00018990039825439453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,3456,scene_0013,128,0.023519590497016907,0.01619706302881241,0.04656028375029564,0.035410888493061066,0.0048997607082128525,0.0006698336219415069,0.3586533009003752,0.2995027280577286,1.2018948887406313,0.00454474613070488,0.2421807497739792,0.0,-0.0002932678908109665,-0.0007714200764894485,-0.001001466065645218,-0.0020439475774765015,0.0002790396101772785,0.00025694319629110396,0.005953081007549654,-0.00807166878019916,0.05139157425983942,6.337324157357216e-05,-0.00022004544734954834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,4992,scene_0019,128,0.009681754745543003,0.0009624135564081371,0.02267525903880596,-5.085449811303988e-05,0.004298741929233074,0.0013821950415149331,0.266229395909122,0.3308158994587988,0.8130702243378309,0.004840223118662834,0.24348771572113037,0.0,0.00024306122213602066,-0.00034352700458839536,6.702914834022522e-05,-0.0017385572209605016,0.00031599029898643494,0.00023441272787749767,0.00649126998279298,-0.001064831975584879,0.021939289491804237,6.334017962217331e-05,-0.00013877451419830322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,6784,scene_0026,128,0.008659310638904572,-0.0052366130985319614,0.01551059540361166,-0.01286915224045515,0.0047089774161577225,-0.0008358201594091952,0.7130868431385462,0.6872471650859248,1.0328854767763596,0.002976873889565468,0.24311603605747223,0.0,0.0003555174916982651,-0.00019462034106254578,0.00033138133585453033,-0.0009340234100818634,0.00036943424493074417,0.00023170775966718793,0.012169331823078777,6.433466515021191e-05,0.017566224114955453,4.4881366193294525e-05,-0.00013047456741333008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,8576,scene_0033,128,0.013473904691636562,0.0015654572052881122,0.029171643778681755,0.004441375844180584,0.005365786608308554,8.00020425231196e-05,0.3858305348263329,0.48703339267964024,0.7940154922341004,0.004151924978941679,0.2424907386302948,0.0,7.434096187353134e-05,-0.000422524637542665,-0.0004546456038951874,-0.0017627920024096966,0.0003475719131529331,0.0002697439122130163,0.015575363675544629,0.0004943554156073282,0.030739303740380253,3.547780215740204e-05,-0.0001842975616455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,10112,scene_0039,128,0.012620502151548862,0.0007119558285921812,0.025024589151144028,0.0014744441723451018,0.004441156052052975,0.0002091648057103157,0.5035712723210607,0.5843117511701678,0.8625731152492049,0.0038182642310857773,0.24272102117538452,0.0,0.0002796631306409836,-0.0003908741055056453,0.0002421196550130844,-0.001218800083734095,0.00030441954731941223,0.0001550660490465816,0.0048835341895004936,-0.006466696793105742,0.017570438149542622,7.097655907273293e-05,-0.000149652361869812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,11904,scene_0046,128,0.009404161013662815,-0.003274796297773719,0.020022397860884666,-0.010990808717906475,0.0046661533415317535,0.00016819809388834983,0.5664199476118927,0.46242575670018055,1.224788361962686,0.0032850413117557764,0.24318744242191315,0.0,0.000386558473110199,-0.0003305654972791672,0.0004946552217006683,-0.001681741327047348,0.0003383243456482887,0.0002723485813476145,0.019958773509034744,0.001834770033670885,0.03845176936173811,2.4145236238837242e-05,-0.00013780593872070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,13440,scene_0052,128,0.011153380386531353,-0.007763923145830631,0.01875508576631546,-0.017614489421248436,0.004823427647352219,0.0004386579676065594,0.5692821031966193,0.46946655774348983,1.2042718839217939,0.002618248574435711,0.24138914048671722,0.0,0.0007524322718381882,-0.0004776483401656151,0.0012021549046039581,-0.0014363620430231094,0.00037794606760144234,0.00032067324355011806,0.007548946370126375,-0.0012050463556175783,0.019708920933658503,1.9981758669018745e-05,-0.00018799304962158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,view,normal_A,train,eval,15232,scene_0059,128,0.012602669186890125,0.0004630013136193156,0.02073977142572403,-0.0009669718565419316,0.0064654117450118065,0.001541531877592206,0.4754021971007184,0.4976846461982554,0.9504168147333067,0.0034871469251811504,0.24106228351593018,0.0,0.00020999927073717117,-0.00047243828885257244,9.473413228988647e-06,-0.0015440709539689124,0.00036123907193541527,0.0003358208341524005,-0.006606980347691749,-0.013061849283261429,0.011210215779276167,4.561757668852806e-05,-0.0002086162567138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
